Item,Profile
DISP Lost Mary MO5000 5000 Puffs 5% Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Cherry Blossom Grape,"Cherry Blossom, Grape, Cherry, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Cherry Lemon,"Cherry, Lemon, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Citrus Sunrise,"Citrus, Orange, Tropical, Lemon, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Ginger Beer,"Ginger, Lemon"
DISP Lost Mary MO5000 5000 Puffs 5% Grape Cloud,"Grape, Grape Jelly, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Kiwi Fuse,"Kiwi, Passionfruit, Guava, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Lemon Sparkling Wine,"Lemon, White Grape, Ice, Mint, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Mango Peach,"Mango, Peach, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Mango Peach Watermelon,"Mango, Peach, Watermelon, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Pineapple Apple Pear,"Pineapple, Apple, Pear, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Plum Rose Mint,"Plum, Rose, Mint, Ice, Menthol, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Raspberry Lemonade,"Raspberry, Lemonade, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Triple Berry Ice,"Raspberry, Blackberry, Blueberry, Ice, Menthol"
DISP Lost Mary MO5000 5000 Puffs 5% Tropical Fruit,"Tropical, Fruit, Pineapple, Mango, Papaya"
DISP Lost Mary MO5000 5000 Puffs 5% Watermelon Cherry,"Watermelon, Cherry, Fruit"
DISP Lost Mary MO5000 5000 Puffs 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP Lost Mary MO5000 5000 Puffs 5% Yummy,"Mango, Pineapple, Papaya, Tropical, Fruit, Candy"
DISP Lost Mary OS5000 5000 Puffs 5% Black Mint,"Mint, Blackberry, Ice, Menthol, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Blue Cotton Candy,"Blue Cotton Candy, Cotton Candy, Blue Razz, Blue Raspberry, Candy"
DISP Lost Mary OS5000 5000 Puffs 5% Blue Razz Ice,"Blue Razz, Blue Raspberry, Ice, Menthol, Fruit, Candy"
DISP Lost Mary OS5000 5000 Puffs 5% Blueberry Ice,"Blueberry, Ice, Menthol, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Cherry Banana Duo Ice,"Cheery, Banana, Ice, Menthol, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Cherry Cola,"Cherry, Cola, Soda, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Cherry Peach Lemonade,"Cherry, Peach, Lemonade, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Cranberry Soda,"Cranberry, Soda, Fruit"
DISP Lost Mary OS5000 5000 Puffs 5% Disposable Strawberry Apple Blackcurrant,"Strawberry, Apple, Blackcurrant, Fruit"
